cluster_name,met,met  _error,loga,loga _error,dm,dm   _error,Av,Av   _error,distance_kpc,distance_kpc_error,E_BV,E_BV_error
Collinder 106,0.016,0.001,7.130,0.004,11.053,0.048,1.225,0.054,16.24052259285195,0.35899377815744554,0.3951612903225807,0.017419354838709676
IC 2944,0.015,0.001,7.002,0.017,11.151,0.101,1.064,0.065,16.990259026713726,0.7902546466525748,0.34322580645161294,0.020967741935483872
IC 4756,,,,,,,,,,,,
Lynga 2,0.016,0.001,7.034,0.014,10.747,0.043,0.372,0.045,14.10587399309471,0.2793277865493095,0.12,0.014516129032258063
NGC 1817,0.014,0.001,9.005,0.011,11.250,0.046,0.708,0.035,17.78279410038923,0.37670684878751604,0.22838709677419353,0.011290322580645162
NGC 1960,0.019,0.001,7.924,0.009,10.064,0.053,0.336,0.075,10.299117193406989,0.2513746934376986,0.10838709677419356,0.024193548387096774
NGC 2099,0.014,0.003,8.749,0.066,10.794,0.115,0.813,0.075,14.41451385758211,0.7633848288181674,0.262258064516129,0.024193548387096774
NGC 2158,0.019,0.001,9.378,0.004,12.900,0.033,1.066,0.021,38.018939632056124,0.5777761680782056,0.3438709677419355,0.006774193548387097
NGC 2264,0.016,0.001,7.037,0.010,9.080,0.021,0.126,0.021,6.546361740672751,0.06330893082116244,0.04064516129032258,0.006774193548387097
NGC 2345,0.014,0.001,8.507,0.027,11.930,0.128,1.543,0.103,24.322040090738145,1.4336913137699125,0.4977419354838709,0.0332258064516129
NGC 6025,0.018,0.002,9.349,0.132,13.697,0.202,1.291,0.146,54.87821792914581,5.1050153679626815,0.41645161290322574,0.04709677419354838
NGC 6475,,,,,,,,,,,,
Collinder 110,0.013,0.002,9.256,0.110,11.645,0.112,1.308,0.143,21.330449131465762,1.100179902012371,0.42193548387096774,0.04612903225806451
IC 1805,,,,,,,,,,,,
IC 4499,,,,,,,,,,,,
IC 4651,,,,,,,,,,,,
IC 5146,,,,,,,,,,,,
M45,0.015,0.003,8.386,0.917,11.930,2.669,1.054,0.657,24.322040090738145,29.894704034780442,0.34,0.21193548387096775
NGC 104,,,,,,,,,,,,
NGC 1245,0.014,0.001,8.999,0.023,12.586,0.045,0.919,0.030,32.900310752470574,0.6818018858415942,0.2964516129032258,0.009677419354838708
NGC 1528,0.017,0.001,9.271,0.104,12.086,0.357,1.554,0.290,26.133645761890246,4.296490941403768,0.5012903225806452,0.09354838709677418
NGC 1746,0.016,0.001,8.103,0.017,9.411,0.055,1.129,0.011,7.624300412007568,0.1931116052051669,0.3641935483870968,0.0035483870967741933
NGC 188,,,,,,,,,,,,
NGC 1912,0.016,0.001,8.459,0.019,10.481,0.033,0.919,0.020,12.47958087870284,0.189652959527557,0.2964516129032258,0.0064516129032258064
NGC 1931,0.014,0.000,9.255,0.012,9.263,0.065,0.670,0.066,7.121967704873783,0.21318617671035608,0.2161290322580645,0.02129032258064516
NGC 2168,0.014,0.001,8.501,0.040,9.618,0.059,0.636,0.046,8.386871712481643,0.22787553222776136,0.20516129032258065,0.014838709677419354
NGC 2269,0.016,0.001,8.467,0.024,11.899,0.055,1.127,0.042,23.977284699638187,0.6073071215184722,0.3635483870967742,0.013548387096774195
NGC 2298,0.016,0.002,8.622,0.004,15.466,0.056,0.827,0.110,123.93672048206807,3.1961982646336935,0.26677419354838705,0.035483870967741936
NGC 2323,0.014,0.001,8.364,0.104,9.870,0.047,0.780,0.078,9.41889596522841,0.20386540875476902,0.25161290322580643,0.025161290322580646
NGC 2360,0.014,0.001,8.932,0.047,10.330,0.053,0.504,0.063,11.641260294104914,0.28413291961881626,0.1625806451612903,0.02032258064516129
NGC 2422,0.015,0.002,8.428,0.916,12.065,2.783,0.882,0.498,25.882129151530904,33.17102492900506,0.28451612903225804,0.16064516129032258
NGC 2447,,,,,,,,,,,,
NGC 2453,0.013,0.003,8.500,0.213,13.191,0.119,1.438,0.084,43.47103696062101,2.382279128043955,0.4638709677419355,0.02709677419354839
NGC 2509,0.019,0.002,9.251,0.004,12.004,0.057,0.154,0.049,25.165177616146423,0.6605725763929426,0.04967741935483871,0.015806451612903227
NGC 2516,0.014,0.001,8.358,0.020,8.187,0.030,0.486,0.039,4.339103405929242,0.059946928916714194,0.1567741935483871,0.012580645161290323
NGC 2546,,,,,,,,,,,,
NGC 2632,0.017,0.001,9.275,0.016,12.337,0.072,0.360,0.020,29.33593941214125,0.9726983536229705,0.11612903225806451,0.0064516129032258064
NGC 2682,,,,,,,,,,,,
NGC 3766,0.014,0.001,7.435,0.029,11.284,0.049,0.704,0.019,18.063420831699773,0.40760712264839005,0.22709677419354837,0.0061290322580645155
NGC 4755,0.012,0.001,7.296,0.059,11.398,0.082,1.237,0.029,19.037065317420748,0.7188851901536505,0.39903225806451614,0.00935483870967742
NGC 5634,0.019,0.001,9.123,0.124,15.176,0.193,0.777,0.132,108.44261957670746,9.638356668306464,0.2506451612903226,0.04258064516129032
NGC 5822,,,,,,,,,,,,
NGC 6139,,,,,,,,,,,,
NGC 6229,0.020,0.001,9.379,0.267,15.043,0.141,0.272,0.049,101.99995965937201,6.623153142054126,0.08774193548387098,0.015806451612903227
NGC 6231,0.019,0.003,7.028,0.017,10.657,0.076,1.569,0.038,13.53318441705924,0.4736518922317909,0.5061290322580645,0.012258064516129031
NGC 6235,0.016,0.001,8.473,0.011,14.589,0.071,1.055,0.044,82.75609700353542,2.7058519654688804,0.34032258064516124,0.014193548387096773
NGC 6242,0.015,0.001,7.809,0.221,10.515,0.060,1.326,0.055,12.67651865857846,0.3502651547316437,0.42774193548387096,0.017741935483870968
NGC 6325,,,,,,,,,,,,
NGC 6352,,,,,,,,,,,,
NGC 6401,0.014,0.001,8.656,0.381,10.575,0.194,1.872,0.101,13.031667784522988,1.164253130326743,0.6038709677419355,0.03258064516129033
NGC 6440,,,,,,,,,,,,
NGC 6441,,,,,,,,,,,,
NGC 6496,0.014,0.001,8.624,0.001,15.088,0.077,1.525,0.078,104.13578615284342,3.692635236178397,0.4919354838709677,0.025161290322580646
NGC 6583,0.014,0.001,9.022,0.013,11.205,0.044,1.715,0.024,17.418068733916144,0.3529379516560567,0.5532258064516129,0.007741935483870968
NGC 6717,,,,,,,,,,,,
NGC 6939,0.012,0.003,9.250,0.027,11.259,0.054,1.057,0.046,17.85665056326742,0.44405773989605946,0.34096774193548385,0.014838709677419354
NGC 7082,0.015,0.003,8.921,0.718,12.908,0.710,1.207,0.486,38.159264911893366,12.47682354549457,0.3893548387096774,0.1567741935483871
NGC 7243,0.015,0.003,8.312,0.894,11.226,2.592,0.929,0.562,17.587333541355733,20.993298528416197,0.2996774193548387,0.18129032258064517
NGC 7492,0.018,0.001,9.378,0.188,15.628,0.124,0.427,0.062,133.53650333271858,7.625483216222794,0.13774193548387095,0.02
NGC 7654,0.016,0.001,8.535,0.075,10.974,0.093,1.792,0.059,15.660297206860477,0.670700504346942,0.5780645161290322,0.01903225806451613
NGC 7789,0.012,0.003,9.250,0.014,11.523,0.058,0.829,0.070,20.165082353921303,0.5386090891147832,0.26741935483870966,0.022580645161290325
NGC 869,0.011,0.001,7.267,0.032,11.666,0.029,1.738,0.030,21.53773355662177,0.28763629250125855,0.5606451612903226,0.009677419354838708
NGC 957,0.014,0.001,9.183,0.018,10.256,0.040,0.811,0.042,11.25122992965767,0.20725531451102563,0.26161290322580644,0.013548387096774195
NGC3766,0.011,0.001,7.543,0.024,11.132,0.015,0.608,0.014,16.84224575082704,0.11634211199518996,0.1961290322580645,0.004516129032258064
NGC4755,0.011,0.001,7.331,0.024,11.446,0.045,1.258,0.015,19.462561593612403,0.4033278377723732,0.40580645161290324,0.004838709677419354
Per OB2,0.016,0.003,7.929,0.774,12.547,2.668,1.161,0.656,32.314690444798856,39.7037483547533,0.37451612903225806,0.21161290322580645
Platais 9,0.016,0.003,8.521,0.928,12.378,2.733,1.047,0.548,29.89509927814587,37.625763039454775,0.33774193548387094,0.1767741935483871
Sco OB4,0.019,0.001,8.636,0.109,9.157,0.106,1.861,0.084,6.782659260153632,0.3310941821897009,0.6003225806451613,0.02709677419354839
