cluster_name,met,met  _error,loga,loga _error,dm,dm   _error,Av,Av   _error,distance_kpc,distance_kpc_error,E_BV,E_BV_error
Collinder 106,0.013,0.002,8.155,0.017,9.224,0.087,0.313,0.091,6.995197810512131,0.2802624646979189,0.10096774193548387,0.02935483870967742
IC 2944,0.019,0.001,7.882,0.002,9.999,0.049,0.055,0.043,9.995395890030881,0.22554944583459882,0.017741935483870968,0.013870967741935483
IC 4756,0.019,0.001,8.209,0.017,10.260,0.025,1.437,0.027,11.271974561755105,0.129773402972527,0.4635483870967742,0.008709677419354838
Lynga 2,0.016,0.001,7.029,0.011,10.374,0.051,0.160,0.055,11.879550279416524,0.27900748892554894,0.05161290322580645,0.017741935483870968
NGC 1817,0.011,0.001,9.499,0.011,10.458,0.015,0.083,0.029,12.34809607858603,0.08529762587223129,0.026774193548387098,0.00935483870967742
NGC 1960,0.015,0.002,7.708,0.078,10.113,0.204,0.765,0.060,10.534162172541887,0.9896368352556102,0.2467741935483871,0.019354838709677417
NGC 2099,0.012,0.001,8.908,0.025,10.490,0.008,0.578,0.038,12.531411749414161,0.046167427021394376,0.1864516129032258,0.012258064516129031
NGC 2158,0.012,0.001,9.180,0.276,10.493,0.008,0.018,0.031,12.548736499304812,0.04623125375873528,0.005806451612903225,0.01
NGC 2264,0.016,0.001,7.028,0.018,9.026,0.027,0.147,0.031,6.3855748507883945,0.07939797909276439,0.047419354838709675,0.01
NGC 2345,0.011,0.001,9.280,0.028,10.490,0.008,0.329,0.041,12.531411749414161,0.046167427021394376,0.10612903225806451,0.013225806451612903
NGC 6025,0.015,0.003,8.217,0.704,8.846,0.951,0.970,0.555,5.877599636805999,2.5741046628576343,0.3129032258064516,0.17903225806451614
NGC 6475,0.018,0.001,8.286,0.030,9.395,0.055,1.712,0.082,7.568328950209742,0.1916939356159105,0.552258064516129,0.026451612903225806
Collinder 110,0.013,0.001,9.483,0.253,10.493,0.006,0.761,0.186,12.548736499304812,0.034673440319051466,0.24548387096774194,0.06
IC 1805,0.016,0.001,9.038,0.071,9.319,0.089,0.869,0.072,7.3080245900910965,0.2995268029507227,0.2803225806451613,0.0232258064516129
IC 4499,0.014,0.001,8.648,0.100,10.489,0.011,0.058,0.099,12.525642149637898,0.06345098516665507,0.01870967741935484,0.03193548387096774
IC 4651,0.019,0.001,9.379,0.003,9.798,0.041,0.133,0.031,9.111712330429192,0.17204004246630963,0.04290322580645162,0.01
IC 5146,0.015,0.003,8.337,0.637,8.563,0.934,0.916,0.534,5.159409511903314,2.219180157666016,0.2954838709677419,0.17225806451612904
M45,0.015,0.003,8.285,0.721,8.621,1.007,1.044,0.576,5.299074190947545,2.457396044683303,0.3367741935483871,0.1858064516129032
