# File generated by CMD 3.8 (http://stev.oapd.inaf.it/cmd) on Mon Feb 17 16:42:31 UTC 2025
# isochrones based on PARSEC release v1.2S
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# Using OBC version of bolometric corrections as detailed in Marigo et al. (2008, A&A 482, 883) and Girardi et al. (2008, PASP 120, 583
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Age = 1.000000E+07 yr
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.0305 0.34439 7.00000 0.1000000015 1.1711064122    0.100 -2.056  3.3753  3.947    0 9.910 11.652 14.007 10.265
0.0305 0.34439 7.00000 0.1199999973 1.3193154249    0.120 -1.943  3.3875  3.962    0 9.627 11.352 13.694 9.961
0.0305 0.34439 7.00000 0.1400000006 1.4384526719    0.140 -1.844  3.3985  3.974    0 9.381 11.091 13.422 9.698
0.0305 0.34439 7.00000 0.1539616585 1.5092222373    0.154 -1.781  3.4060  3.982    0 9.222 10.923 13.247 9.528
0.0305 0.34439 7.00000 0.1651332229 1.5600946523    0.165 -1.736  3.4116  3.990    0 9.110 10.801 13.118 9.405
0.0305 0.34439 7.00000 0.1668151319 1.5673660030    0.167 -1.729  3.4125  3.992    0 9.093 10.783 13.098 9.386
0.0305 0.34439 7.00000 0.1694058925 1.5783820691    0.169 -1.717  3.4141  3.992    0 9.063 10.751 13.066 9.354
0.0305 0.34439 7.00000 0.1829609573 1.6326479998    0.183 -1.663  3.4210  4.000    0 8.928 10.551 12.782 9.168
0.0305 0.34439 7.00000 0.1972516775 1.6844712059    0.197 -1.617  3.4264  4.008    0 8.813 10.386 12.553 9.017
0.0305 0.34439 7.00000 0.2006439269 1.6960590419    0.201 -1.608  3.4275  4.011    0 8.791 10.354 12.508 8.988
0.0305 0.34439 7.00000 0.2176862061 1.7506487750    0.218 -1.555  3.4344  4.020    0 8.657 10.154 12.266 8.801
0.0305 0.34439 7.00000 0.2361401916 1.8038216747    0.236 -1.502  3.4413  4.030    0 8.525 9.958 12.050 8.614
0.0305 0.34439 7.00000 0.2517599761 1.8447727611    0.252 -1.464  3.4462  4.040    0 8.429 9.817 11.878 8.483
0.0305 0.34439 7.00000 0.2752260268 1.9004566351    0.275 -1.403  3.4549  4.052    0 8.276 9.589 11.560 8.276
0.0305 0.34439 7.00000 0.3000000417 1.9529140366    0.300 -1.343  3.4635  4.064    0 8.128 9.370 11.244 8.081
0.0305 0.34439 7.00000 0.3267534971 2.0035836327    0.327 -1.288  3.4709  4.076    0 7.991 9.175 10.961 7.906
0.0305 0.34439 7.00000 0.3499999642 2.0434174156    0.350 -1.244  3.4770  4.086    0 7.880 9.017 10.737 7.767
0.0305 0.34439 7.00000 0.3869727254 2.1001639229    0.387 -1.176  3.4868  4.101    0 7.711 8.775 10.391 7.552
0.0305 0.34439 7.00000 0.4000000060 2.1185024399    0.400 -1.154  3.4901  4.107    0 7.655 8.695 10.280 7.482
0.0305 0.34439 7.00000 0.4123586714 2.1351959715    0.412 -1.135  3.4929  4.112    0 7.607 8.628 10.186 7.422
0.0305 0.34439 7.00000 0.4500000179 2.1822809362    0.450 -1.078  3.5011  4.125    0 7.465 8.427 9.908 7.244
0.0305 0.34439 7.00000 0.4878444374 2.2247216990    0.488 -1.023  3.5096  4.140    0 7.328 8.233 9.643 7.073
0.0305 0.34439 7.00000 0.5000000596 2.2374542144    0.500 -1.006  3.5123  4.144    0 7.286 8.172 9.559 7.020
0.0305 0.34439 7.00000 0.5085282326 2.2460762813    0.509 -0.995  3.5141  4.148    0 7.258 8.131 9.504 6.984
0.0305 0.34439 7.00000 0.5500000715 2.2836583126    0.550 -0.940  3.5230  4.162    0 7.119 7.936 9.243 6.813
0.0305 0.34439 7.00000 0.5759258866 2.3040170048    0.576 -0.907  3.5283  4.171    0 7.038 7.821 9.088 6.712
0.0305 0.34439 7.00000 0.6000000238 2.3211213258    0.600 -0.879  3.5328  4.178    0 6.967 7.722 8.956 6.626
0.0305 0.34439 7.00000 0.6051211953 2.3245585452    0.605 -0.873  3.5338  4.180    0 6.952 7.700 8.927 6.608
0.0305 0.34439 7.00000 0.6322230697 2.3416876001    0.632 -0.840  3.5393  4.188    0 6.869 7.584 8.769 6.508
0.0305 0.34439 7.00000 0.6499999762 2.3520353107    0.650 -0.820  3.5425  4.193    0 6.820 7.514 8.676 6.448
0.0305 0.34439 7.00000 0.6778127551 2.3669794010    0.678 -0.787  3.5484  4.202    0 6.738 7.399 8.528 6.349
0.0305 0.34439 7.00000 0.7000000477 2.3779267258    0.700 -0.763  3.5526  4.208    0 6.677 7.315 8.418 6.275
0.0305 0.34439 7.00000 0.7500000000 2.3998889087    0.750 -0.614  3.6052  4.300    0 6.306 6.723 7.532 5.835
0.0305 0.34439 7.00000 0.7897701263 2.4150934654    0.790 -0.572  3.6110  4.304    0 6.201 6.582 7.358 5.715
0.0305 0.34439 7.00000 0.7999389172 2.4187030724    0.800 -0.561  3.6124  4.303    0 6.172 6.544 7.312 5.682
0.0305 0.34439 7.00000 0.8440737724 2.4332173232    0.844 -0.517  3.6185  4.308    0 6.064 6.397 7.135 5.557
0.0305 0.34439 7.00000 0.8498777747 2.4349974891    0.849 -0.511  3.6194  4.308    0 6.048 6.376 7.110 5.538
0.0305 0.34439 7.00000 0.8998166323 2.4492296868    0.899 -0.460  3.6264  4.309    0 5.920 6.205 6.904 5.392
0.0305 0.34439 7.00000 0.9029740095 2.4500688621    0.902 -0.457  3.6268  4.309    0 5.912 6.195 6.893 5.383
