cluster_name,met,met  _error,loga,loga _error,dm,dm   _error,Av,Av   _error,distance_kpc,distance_kpc_error,E_BV,E_BV_error
Collinder 106,0.014,0.003,8.166,0.154,9.311,0.261,0.335,0.075,7.281150367067409,0.8751574450020035,0.10806451612903226,0.024193548387096774
IC 2944,0.016,0.002,7.001,0.006,11.454,0.111,1.130,0.054,19.534396563982572,0.9985473493007004,0.364516129032258,0.017419354838709676
IC 4756,0.011,0.001,9.501,0.065,11.924,0.020,1.815,0.026,24.254928571094204,0.22339614783774756,0.5854838709677419,0.008387096774193548
Lynga 2,0.016,0.001,7.040,0.019,10.735,0.059,0.117,0.061,14.028137045619575,0.38115155507590975,0.03774193548387097,0.01967741935483871
NGC 1817,0.014,0.001,9.019,0.022,11.251,0.038,0.717,0.019,17.790985265651436,0.3113359567139794,0.23129032258064514,0.0061290322580645155
NGC 1960,0.019,0.001,7.936,0.035,10.191,0.077,0.479,0.103,10.91943079050354,0.38720094585778203,0.15451612903225806,0.0332258064516129
NGC 2099,0.015,0.001,8.858,0.025,10.864,0.053,0.852,0.051,14.886753594923645,0.3633469792539151,0.27483870967741936,0.016451612903225804
NGC 2158,0.011,0.001,9.127,0.002,11.960,0.024,0.640,0.036,24.6603933723434,0.27255673999932994,0.2064516129032258,0.01161290322580645
NGC 2264,0.016,0.002,7.033,0.042,9.036,0.098,0.197,0.049,6.415049325106628,0.2895154601575159,0.0635483870967742,0.015806451612903227
NGC 2345,0.015,0.001,8.549,0.014,11.940,0.083,1.438,0.077,24.434305526939713,0.9339503232222907,0.4638709677419355,0.024838709677419354
NGC 6025,0.014,0.001,9.512,0.030,11.992,0.006,0.510,0.038,25.026493257310797,0.06915075636503983,0.16451612903225807,0.012258064516129031
NGC 6475,0.019,0.001,8.636,0.013,9.261,0.079,1.369,0.228,7.115411150074333,0.2588646663860195,0.44161290322580643,0.07354838709677419
Collinder 110,0.015,0.002,9.250,0.055,11.821,0.072,1.295,0.083,23.131297805638503,0.7669696537277151,0.41774193548387095,0.026774193548387098
IC 1805,0.012,0.002,9.526,0.034,9.512,0.016,0.777,0.162,7.987300061113138,0.05885260177276654,0.2506451612903226,0.052258064516129035
IC 4499,0.011,0.001,9.349,0.005,11.983,0.014,0.025,0.023,24.922981780526225,0.16068440169824527,0.008064516129032258,0.007419354838709677
IC 4651,0.019,0.001,9.275,0.009,9.857,0.031,0.319,0.008,9.362676114879113,0.13366182240644275,0.10290322580645161,0.0025806451612903226
IC 5146,0.013,0.001,9.505,0.048,11.986,0.011,1.441,0.020,24.957437948315718,0.1264265740740545,0.46483870967741936,0.0064516129032258064
M45,0.012,0.001,9.527,0.118,11.979,0.022,0.534,0.094,24.87711421003308,0.2520393582816231,0.17225806451612904,0.03032258064516129
NGC 104,0.016,0.002,9.478,0.287,10.567,0.168,0.780,0.026,12.98374567614822,1.0045116226361932,0.25161290322580643,0.008387096774193548
NGC 1245,0.011,0.003,9.249,0.039,11.984,0.017,0.396,0.070,24.934461880978315,0.19520664877849445,0.12774193548387097,0.022580645161290325
NGC 1528,0.015,0.001,8.523,0.016,10.443,0.080,1.157,0.056,12.263092383087383,0.45178901944489336,0.3732258064516129,0.018064516129032256
NGC 1746,0.011,0.001,7.812,0.004,9.789,0.043,1.489,0.023,9.07402559622869,0.17968595821337427,0.4803225806451613,0.007419354838709677
NGC 188,0.019,0.001,9.506,0.020,11.602,0.029,0.403,0.015,20.912213301552878,0.27928247353607133,0.13,0.004838709677419354
NGC 1912,0.016,0.001,8.375,0.112,10.500,0.094,0.924,0.054,12.589254117941675,0.5449711826410645,0.2980645161290323,0.017419354838709676
NGC 1931,0.013,0.002,9.288,0.295,9.103,0.119,0.635,0.197,6.6160686055599935,0.3625706505002426,0.20483870967741935,0.0635483870967742
NGC 2168,0.019,0.001,7.785,0.016,9.964,0.029,0.894,0.022,9.835580562269579,0.1313541148650188,0.28838709677419355,0.007096774193548387
NGC 2269,0.016,0.001,8.549,0.043,11.939,0.063,1.149,0.055,24.4230557039732,0.7085756662655819,0.3706451612903226,0.017741935483870968
NGC 2298,0.018,0.003,9.532,0.065,11.991,0.007,0.717,0.077,25.014970784600973,0.08063873836242529,0.23129032258064514,0.024838709677419354
NGC 2323,0.015,0.001,8.497,0.243,9.993,0.059,0.764,0.080,9.967815711512952,0.2708305776310904,0.24645161290322581,0.025806451612903226
